Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
69.6855239868164	0	-363.26056	182.7789	119.87671	-837.2257	106.6622340425532	28.913669360012364	40105	40105
165.94999718666077	1	-256.54578	161.55212	239.24483	-648.1259	108.59891598915989	29.388466275810188	40073	80178
254.29704213142395	2	-211.33398	116.73276	119.437	-628.76373	109.77808219178083	70.53705962034181	40069	120247
328.97569513320923	3	-168.58609	94.54775	215.33348	-462.34903	106.94933333333333	36.49876846628603	40106	160353
408.8006811141968	4	-156.25409	88.4523	209.37743	-449.34015	101.63959390862944	28.18812897415357	40046	200399
485.2044560909271	5	-146.37477	91.65753	180.80615	-384.05792	107.78494623655914	54.82932451843308	40096	240495
578.4020631313324	6	-142.8311	78.95197	165.65952	-442.08868	115.6820809248555	87.90577306993183	40026	280521
644.7462191581726	7	-129.10196	95.88333	214.01654	-455.55673	112.9887323943662	55.742515569851605	40111	320632
726.485918045044	8	-114.65515	97.2898	208.31395	-463.96478	132.62582781456953	99.3151502441764	40053	360685
810.897782087326	9	-93.06441	113.28814	263.17798	-534.4091	136.58703071672355	102.59145642193506	40020	400705
906.3587071895599	10	-72.63328	102.86476	202.90302	-395.50256	155.2906976744186	129.7897404850328	40065	440770
1006.7281520366669	11	-60.47021	118.33608	242.1977	-390.48917	177.0796460176991	139.55682964570258	40020	480790
1114.730075120926	12	-34.570114	121.38231	217.11552	-341.63016	189.12264150943398	154.40358185979895	40094	520884
1235.678729057312	13	-26.253077	126.601166	219.40715	-377.73224	220.3956043956044	180.05331195374836	40112	560996
1355.3754251003265	14	-17.670095	132.9299	245.44084	-284.18143	243.98181818181817	168.40198921762115	40257	601253
1524.477289199829	15	-33.62861	143.51428	238.81873	-357.11136	361.7927927927928	274.8065697156219	40159	641412
1674.0838830471039	16	-53.534004	142.18855	229.86095	-379.82666	340.4117647058824	224.4765867810097	40509	681921
1840.7551791667938	17	-46.50081	142.51443	236.24179	-334.4305	406.4848484848485	256.2834748230976	40242	722163
2119.9723460674286	18	-25.251076	130.54004	200.6147	-244.4032	482.28915662650604	293.1843669347862	40030	762193
2378.051769018173	19	11.361327	143.3245	256.06622	-280.41125	446.9111111111111	266.55029312576664	40222	802415
2660.011172056198	20	8.375951	143.28444	205.20601	-331.67386	543.2297297297297	273.4844502372092	40199	842614
2927.0828981399536	21	48.299614	132.38956	219.522	-294.01987	538.7066666666667	244.53840998001837	40403	883017
3222.891571044922	22	45.38755	134.97752	202.51105	-331.76627	597.7941176470588	264.7158053695637	40650	923667
3532.5225841999054	23	43.52133	127.3527	236.83742	-312.17163	615.3333333333334	311.2286664629125	40612	964279
3815.844717025757	24	55.205402	134.90218	214.39868	-450.5464	544.32	290.25750222862456	40824	1005103
4090.6160430908203	25	63.15178	122.455055	231.57689	-289.7527	534.9466666666667	299.49049593527263	40121	1045224
9520.814467191696	26	69.04301	117.315216	224.68095	-282.4752	482.0120481927711	309.0136072948816	40007	1085231
23462.343264102936	27	100.96862	110.65506	240.86494	-148.19484	431.10752688172045	287.4952439949053	40093	1125324
23595.274121046066	28	114.736565	100.98229	247.83194	-106.82271	319.9047619047619	178.59848683886935	40308	1165632
23763.182721138	29	121.80137	98.01968	235.10295	-85.81433	364.9909090909091	276.62194402714215	40149	1205781
23952.95792198181	30	123.877495	100.66735	224.94308	-199.59547	336.92436974789916	264.57437389528445	40094	1245875
24098.720055103302	31	132.78453	95.23176	235.48051	-261.31082	288.1478873239437	205.43060056979382	40917	1286792
24221.31662106514	32	122.8305	103.61342	236.74521	-299.06958	266.91333333333336	196.819610698618	40037	1326829
24328.931370019913	33	142.08531	90.65829	251.99504	-317.90085	245.43558282208588	157.254045440753	40006	1366835
24439.095843076706	34	138.6185	93.18412	249.77325	-281.22626	241.8975903614458	160.702585036978	40155	1406990
24551.454468011856	35	159.94144	68.26941	240.87851	-90.74042	258.3397435897436	184.0265273796727	40301	1447291
24660.753930091858	36	154.36404	67.30767	243.9329	-70.60011	241.56626506024097	171.42641772282104	40100	1487391
24781.853087186813	37	159.15668	70.47622	256.81024	-149.30003	251.72049689440993	189.89955537776373	40527	1527918
24893.90289402008	38	159.35797	70.42563	246.7493	-111.13262	240.4191616766467	174.0860592925688	40150	1568068
24993.97415614128	39	165.11055	69.04138	245.98137	-84.31305	220.03846153846155	103.67729759785203	40047	1608115
25080.307880163193	40	175.89107	60.295525	260.03528	-126.20089	206.57731958762886	69.15354722533267	40076	1648191
25178.73173904419	41	180.34248	67.92758	255.51529	-490.09845	227.67613636363637	117.47380123236587	40071	1688262
25259.586712121964	42	182.33633	47.474167	251.6937	-66.02713	202.7929292929293	29.281851353559773	40153	1728415
25344.338019132614	43	173.85944	60.78434	259.9573	-82.555145	203.56852791878174	68.49907646467345	40103	1768518
25440.609853982925	44	172.82594	66.50599	254.36548	-297.30478	213.87765957446808	118.33823203208613	40209	1808727
25525.947067022324	45	185.16833	44.427246	254.64345	-38.489258	199.66169154228857	84.5469340357776	40132	1848859
25611.729466199875	46	178.21172	54.908356	259.21185	-217.72684	196.59313725490196	86.43276970219642	40105	1888964
25691.039493083954	47	177.45421	59.327087	250.22147	-80.171005	190.9142857142857	31.10599828412039	40092	1929056
25766.305482149124	48	184.95404	38.742653	260.29248	-77.24644	186.7767441860465	40.20351041718611	40157	1969213
25844.21023106575	49	178.65157	51.69094	255.42412	-82.009834	181.1447963800905	46.39011082574175	40033	2009246
25917.36623120308	50	182.05576	46.92816	268.90314	-77.72944	174.22173913043477	27.50949964809373	40071	2049317
25994.516159057617	51	172.08557	61.763393	255.03549	-95.46733	171.008547008547	58.23185249412355	40016	2089333
26069.017960071564	52	167.01077	70.85291	268.09094	-84.22568	165.74380165289256	57.20588147038409	40110	2129443
26139.11863899231	53	160.54013	76.68991	258.25824	-118.19387	160.69076305220884	29.536118298732266	40012	2169455
26249.64845609665	54	171.04828	66.07542	266.53717	-95.544426	162.85365853658536	19.224680498610287	40062	2209517
26369.719709157944	55	176.96114	57.958565	260.67563	-70.06601	171.9656652360515	61.17833375219367	40068	2249585
26484.27978205681	56	172.20447	80.63145	252.74304	-461.99606	164.2622950819672	21.555799979712784	40080	2289665
26609.075996160507	57	174.49774	71.76805	254.0589	-294.73212	170.5404255319149	60.75953181355087	40077	2329742
26724.80443406105	58	195.74646	34.73829	271.81525	-85.8383	175.53508771929825	19.60562031151585	40022	2369764
26844.35661506653	59	195.89737	32.680065	267.3597	-48.850945	177.76548672566372	21.058344025152646	40175	2409939
26971.635740041733	60	190.15395	46.145264	262.7679	-82.40008	187.2570093457944	60.68583355935968	40073	2450012
27102.64339017868	61	192.41545	35.14011	247.60683	-48.456352	188.11737089201878	60.619960832251884	40069	2490081
27243.89267897606	62	189.5012	46.896088	269.6517	-73.66202	202.57070707070707	104.33087687351727	40109	2530190
27380.743636131287	63	189.95285	40.100094	262.3279	-69.683426	196.14705882352942	101.49499138215249	40014	2570204
27517.81783103943	64	187.76115	50.975437	262.415	-132.70752	194.38349514563106	97.90253484732419	40043	2610247
27653.74717116356	65	186.96857	54.853615	257.67334	-316.60352	184.35944700460828	83.44285174614	40006	2650253
27780.185063123703	66	185.63014	59.445866	262.1623	-218.98065	180.36486486486487	81.05051939037904	40041	2690294
27912.709918022156	67	183.4659	59.67995	262.01666	-87.90433	179.45982142857142	97.68278741472812	40199	2730493
28047.12606215477	68	185.0885	48.825424	270.23285	-51.967926	178.14222222222222	94.75027877740023	40082	2770575
28160.334492206573	69	178.06601	80.19855	256.2241	-448.63467	167.27083333333334	57.34026348014301	40145	2810720
28283.201020002365	70	177.60555	68.633705	256.39032	-201.54848	167.4100418410042	78.56063446970607	40011	2850731
28421.239881038666	71	179.22389	60.274082	260.1856	-168.09293	171.47008547008548	96.19252175649122	40124	2890855
28537.922257184982	72	179.0112	59.351475	268.41107	-111.40109	159.601593625498	56.610367448371505	40060	2930915
